Id,SleepDate,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
4558609924,2016-05-08,1,123,134
7086361926,2016-05-04,1,420,436
3977333714,2016-04-22,1,355,476
6117666160,2016-05-09,1,492,522
1844505072,2016-05-01,1,590,961
1503960366,2016-04-20,1,360,377
6117666160,2016-04-18,2,493,510
8378563200,2016-04-16,2,611,689
1503960366,2016-05-07,1,331,349
4020332650,2016-05-03,1,322,332
4702921684,2016-05-12,1,404,442
2026352035,2016-04-30,1,573,607
4388161847,2016-05-10,1,354,375
6117666160,2016-04-29,1,600,636
6962181067,2016-04-19,1,476,535
5553957443,2016-04-19,1,357,410
2026352035,2016-04-21,1,477,514
3977333714,2016-05-01,1,383,626
4702921684,2016-05-06,1,404,449
4020332650,2016-05-10,1,442,494
5553957443,2016-04-23,2,631,725
1503960366,2016-04-29,1,341,354
2026352035,2016-04-23,1,522,554
2347167796,2016-04-26,1,436,490
3977333714,2016-04-15,1,424,556
4388161847,2016-05-01,1,547,597
4388161847,2016-05-08,2,529,541
4445114986,2016-05-12,1,483,501
8378563200,2016-04-19,1,387,421
8378563200,2016-05-09,1,359,399
4388161847,2016-04-28,1,428,458
8053475328,2016-05-07,1,74,75
1503960366,2016-04-15,1,412,442
1503960366,2016-04-17,1,700,712
2026352035,2016-04-24,1,555,591
4702921684,2016-04-21,1,425,434
6117666160,2016-04-21,1,508,550
7086361926,2016-04-25,1,446,447
8378563200,2016-04-17,2,525,591
2026352035,2016-04-29,1,490,510
3977333714,2016-05-02,1,230,384
4445114986,2016-04-17,1,98,107
4445114986,2016-05-06,2,374,402
4702921684,2016-05-10,1,416,431
5553957443,2016-04-13,2,455,488
5553957443,2016-05-11,1,463,486
1927972279,2016-04-28,1,166,178
5577150313,2016-04-18,1,527,553
6775888955,2016-04-13,1,235,260
1503960366,2016-04-24,1,430,449
1503960366,2016-04-26,1,245,274
1503960366,2016-05-08,1,594,611
1644430081,2016-04-29,1,119,127
4020332650,2016-05-06,1,385,408
4319703577,2016-05-07,1,507,530
4445114986,2016-04-16,1,462,499
2026352035,2016-05-11,1,523,553
4445114986,2016-04-13,2,370,406
7086361926,2016-04-24,1,681,704
8378563200,2016-05-04,1,441,477
4445114986,2016-04-22,1,388,417
5577150313,2016-05-05,1,74,78
6962181067,2016-04-12,1,366,387
4388161847,2016-04-23,1,478,501
4702921684,2016-04-23,1,465,475
5553957443,2016-04-21,1,399,431
5553957443,2016-04-30,2,775,843
8053475328,2016-04-20,1,486,493
8378563200,2016-04-18,1,398,451
8378563200,2016-04-23,1,565,591
8378563200,2016-05-05,1,381,417
2026352035,2016-04-27,1,508,545
4319703577,2016-05-02,1,478,506
4445114986,2016-05-07,2,401,436
2347167796,2016-04-24,1,442,459
2347167796,2016-04-29,1,411,473
4020332650,2016-05-08,1,364,402
6117666160,2016-04-19,1,465,492
4319703577,2016-04-18,1,515,551
4702921684,2016-04-13,2,400,430
4702921684,2016-05-07,1,520,543
5553957443,2016-05-08,1,568,608
5577150313,2016-04-15,1,392,413
6117666160,2016-05-05,1,392,415
8378563200,2016-04-12,1,338,356
1503960366,2016-04-25,1,277,323
2026352035,2016-04-22,1,520,545
2347167796,2016-04-28,1,408,450
3977333714,2016-04-21,1,332,512
4388161847,2016-04-24,3,552,595
5577150313,2016-04-27,1,424,452
7086361926,2016-04-22,1,428,448
2026352035,2016-05-04,1,538,560
4388161847,2016-04-18,1,99,104
4388161847,2016-04-21,1,442,458
4319703577,2016-04-24,1,467,501
4319703577,2016-05-03,1,474,512
4388161847,2016-04-27,1,439,500
6117666160,2016-05-06,2,658,698
7086361926,2016-05-07,1,530,548
4319703577,2016-04-14,1,535,557
4558609924,2016-05-01,1,115,129
4702921684,2016-04-25,1,370,380
4702921684,2016-05-09,1,435,458
4702921684,2016-04-20,1,454,468
5553957443,2016-04-18,2,520,541
5553957443,2016-04-22,1,322,353
6962181067,2016-05-07,1,298,334
5577150313,2016-04-22,1,338,366
6117666160,2016-04-20,1,474,502
8792009665,2016-05-02,1,415,423
2347167796,2016-04-14,1,445,489
4445114986,2016-05-02,1,502,542
4702921684,2016-04-19,1,457,487
6117666160,2016-04-28,1,393,416
7086361926,2016-05-09,1,427,438
2026352035,2016-04-14,1,545,568
2347167796,2016-04-25,1,433,471
5577150313,2016-05-04,1,603,634
6962181067,2016-04-14,2,508,535
6962181067,2016-04-16,1,357,366
3977333714,2016-04-20,2,152,305
4020332650,2016-04-12,1,501,541
5577150313,2016-05-02,2,525,553
1503960366,2016-04-23,1,361,384
4702921684,2016-04-29,1,433,447
5553957443,2016-04-12,1,441,464
5553957443,2016-04-14,1,357,418
6962181067,2016-04-13,3,630,679
4319703577,2016-04-20,1,523,543
4445114986,2016-05-04,2,337,363
5553957443,2016-04-28,1,421,457
5577150313,2016-04-20,1,447,480
8378563200,2016-05-07,2,459,513
8792009665,2016-04-27,1,423,428
2026352035,2016-05-12,1,456,485
4319703577,2016-04-16,1,506,522
5553957443,2016-05-05,1,419,464
3977333714,2016-04-30,1,237,382
6775888955,2016-04-14,1,423,441
6962181067,2016-05-10,1,469,481
8378563200,2016-04-13,2,447,487
8378563200,2016-04-26,1,550,584
1503960366,2016-04-28,1,366,393
1844505072,2016-04-15,1,644,961
1844505072,2016-04-30,1,722,961
5553957443,2016-05-06,1,400,434
5577150313,2016-04-13,1,432,458
7086361926,2016-04-19,1,472,483
2026352035,2016-04-16,1,524,567
4445114986,2016-05-08,1,361,391
6962181067,2016-05-03,1,394,418
7007744171,2016-04-16,1,79,82
3977333714,2016-04-29,1,333,478
4388161847,2016-05-09,1,62,65
4445114986,2016-04-15,2,337,379
4445114986,2016-04-19,2,388,424
6117666160,2016-04-16,1,380,398
7086361926,2016-05-12,1,444,457
8792009665,2016-04-12,1,458,493
8792009665,2016-05-03,1,516,545
2320127002,2016-04-23,1,61,69
3977333714,2016-05-08,2,259,456
4388161847,2016-05-05,1,471,495
4558609924,2016-04-26,1,103,121
4702921684,2016-05-03,1,327,373
6962181067,2016-05-02,1,466,482
8378563200,2016-04-28,1,506,556
8792009665,2016-04-23,1,339,360
1644430081,2016-05-08,1,137,154
2347167796,2016-04-22,1,405,461
4702921684,2016-05-05,1,414,428
6117666160,2016-04-27,1,542,557
8792009665,2016-05-01,1,503,527
6962181067,2016-04-22,1,425,435
2026352035,2016-05-02,1,511,543
2347167796,2016-04-15,1,452,504
3977333714,2016-04-26,1,250,371
4319703577,2016-05-11,1,529,558
5553957443,2016-05-10,1,418,443
5577150313,2016-04-14,1,477,497
5577150313,2016-05-01,1,379,398
1644430081,2016-04-30,1,124,142
4319703577,2016-04-29,1,523,546
8378563200,2016-04-29,1,527,562
5553957443,2016-05-07,1,442,470
8378563200,2016-05-08,1,545,606
8792009665,2016-04-29,1,398,406
2026352035,2016-04-28,1,513,545
3977333714,2016-05-03,1,292,500
4319703577,2016-04-27,1,286,307
5577150313,2016-04-21,1,414,437
4388161847,2016-04-26,1,319,346
8378563200,2016-04-14,1,424,455
1927972279,2016-04-15,2,475,499
2026352035,2016-05-07,1,511,521
3977333714,2016-04-25,1,262,467
4445114986,2016-04-30,1,322,353
5553957443,2016-04-17,1,350,402
6962181067,2016-04-30,1,422,424
8378563200,2016-04-25,1,388,402
1503960366,2016-05-01,1,369,396
4319703577,2016-04-21,1,59,65
4388161847,2016-04-16,2,426,448
4702921684,2016-04-15,1,253,257
5577150313,2016-04-29,1,459,485
7086361926,2016-05-01,1,388,407
4319703577,2016-04-28,1,497,522
4319703577,2016-05-08,1,602,638
4702921684,2016-04-16,2,382,406
5553957443,2016-04-20,1,658,678
8378563200,2016-04-27,1,531,600
3977333714,2016-04-13,2,295,456
1503960366,2016-04-16,2,340,367
2026352035,2016-05-06,1,524,548
2026352035,2016-05-08,1,541,568
5553957443,2016-05-02,1,409,471
3977333714,2016-04-12,1,274,469
4388161847,2016-04-22,1,82,85
4702921684,2016-04-27,1,432,449
5553957443,2016-05-01,2,622,686
5577150313,2016-05-03,1,508,543
6962181067,2016-04-17,1,427,446
4319703577,2016-04-22,1,533,550
4319703577,2016-05-12,1,302,321
6962181067,2016-04-26,1,441,446
7086361926,2016-04-26,1,485,500
3977333714,2016-04-16,1,283,510
4445114986,2016-05-11,1,499,530
5577150313,2016-04-30,1,412,433
6117666160,2016-04-24,1,353,367
7007744171,2016-05-01,1,58,61
2347167796,2016-04-13,1,467,531
4445114986,2016-04-28,1,419,442
5553957443,2016-04-25,1,433,468
5577150313,2016-04-17,1,549,583
6962181067,2016-05-01,1,411,426
1503960366,2016-04-21,1,325,364
1503960366,2016-05-03,1,273,296
4319703577,2016-04-26,1,505,516
7086361926,2016-04-12,1,514,525
7086361926,2016-04-13,1,451,465
8378563200,2016-04-15,1,513,533
8378563200,2016-05-01,1,475,539
2347167796,2016-04-19,1,465,514
4020332650,2016-04-16,1,77,77
4319703577,2016-04-23,1,692,722
4319703577,2016-05-10,1,487,517
4702921684,2016-04-18,1,293,312
6962181067,2016-04-18,1,442,458
8378563200,2016-05-03,1,405,429
4319703577,2016-04-25,1,488,506
4702921684,2016-04-14,1,384,415
5577150313,2016-04-28,1,361,372
7086361926,2016-04-20,1,492,502
7086361926,2016-05-06,1,322,333
8378563200,2016-04-20,1,381,409
8792009665,2016-04-13,1,531,552
2026352035,2016-04-25,1,506,531
3977333714,2016-05-05,1,318,480
5553957443,2016-05-03,1,380,429
5577150313,2016-04-25,1,421,461
6962181067,2016-04-21,1,451,457
2347167796,2016-04-27,1,448,499
4388161847,2016-04-19,1,329,338
4388161847,2016-05-07,1,472,496
4445114986,2016-04-26,2,353,391
6962181067,2016-04-27,1,455,467
8378563200,2016-04-22,1,441,469
4702921684,2016-04-26,1,421,429
5553957443,2016-04-27,1,347,391
7086361926,2016-05-08,1,481,510
4319703577,2016-05-06,1,450,491
4702921684,2016-04-28,1,442,461
6962181067,2016-04-23,1,528,546
1503960366,2016-05-05,1,247,264
2026352035,2016-04-12,1,503,546
3977333714,2016-04-27,1,349,540
4702921684,2016-04-17,1,591,612
6962181067,2016-04-24,1,511,514
6962181067,2016-05-04,1,442,455
8378563200,2016-05-06,1,323,355
4388161847,2016-04-17,2,619,641
8378563200,2016-05-11,1,368,387
8792009665,2016-04-20,1,528,547
2026352035,2016-04-17,1,437,498
3977333714,2016-04-28,1,261,423
6962181067,2016-04-15,1,370,386
6962181067,2016-04-25,1,400,415
6962181067,2016-04-28,1,440,453
7086361926,2016-05-02,1,440,459
7086361926,2016-05-03,1,456,461
8792009665,2016-04-15,1,363,377
2026352035,2016-04-19,1,498,540
2026352035,2016-05-05,1,468,485
4388161847,2016-05-02,2,368,376
5577150313,2016-05-10,1,504,562
6962181067,2016-05-06,1,443,462
1927972279,2016-04-13,1,398,422
3977333714,2016-04-14,1,291,397
6962181067,2016-05-05,1,467,491
3977333714,2016-05-06,1,323,512
6775888955,2016-04-15,1,391,406
6962181067,2016-05-12,1,516,535
1503960366,2016-05-06,1,334,367
5553957443,2016-04-15,1,377,409
5553957443,2016-04-16,2,651,686
5553957443,2016-04-26,1,412,453
5553957443,2016-04-29,1,450,495
2347167796,2016-04-17,1,556,602
2347167796,2016-04-23,1,374,386
4388161847,2016-04-20,1,421,451
4702921684,2016-05-11,1,354,366
6962181067,2016-05-11,1,452,480
2026352035,2016-05-09,1,531,556
4445114986,2016-04-27,1,332,374
4445114986,2016-05-10,1,405,426
6117666160,2016-04-17,2,336,350
4445114986,2016-05-05,2,462,513
5553957443,2016-05-04,1,447,470
3977333714,2016-04-19,1,219,395
6117666160,2016-04-22,1,480,546
6962181067,2016-05-09,1,489,497
7086361926,2016-04-15,1,377,386
8792009665,2016-04-28,1,402,416
3977333714,2016-05-10,1,312,452
4319703577,2016-05-01,1,484,500
4388161847,2016-04-30,2,409,430
8792009665,2016-04-14,1,486,503
1503960366,2016-05-10,1,383,403
1644430081,2016-05-02,1,796,961
5577150313,2016-05-11,1,431,476
2347167796,2016-04-21,1,460,484
4445114986,2016-05-09,1,457,533
5577150313,2016-04-12,1,419,438
5577150313,2016-04-19,1,449,465
5577150313,2016-04-26,1,354,377
8792009665,2016-04-22,1,391,407
1503960366,2016-05-09,1,338,342
5553957443,2016-05-12,1,438,475
5577150313,2016-04-24,1,543,615
1503960366,2016-04-12,1,327,346
3977333714,2016-04-18,2,412,522
8378563200,2016-04-24,1,458,492
4319703577,2016-05-09,1,535,565
6117666160,2016-05-08,1,555,603
8378563200,2016-04-21,1,396,417
2026352035,2016-05-10,1,357,380
4319703577,2016-04-30,1,490,516
4558609924,2016-04-29,1,171,179
6962181067,2016-05-08,1,541,569
4445114986,2016-04-12,2,429,457
4445114986,2016-04-21,1,436,469
6962181067,2016-04-20,1,418,424
7086361926,2016-04-27,1,469,479
